City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,broome,42.2506,-75.833,1.97,73,100,2.06,US,1674963087
344,sakata,38.9167,139.855,-0.9,86,75,6.17,JP,1674963087
345,saint-augustin,51.226,-58.6502,-6.9,93,100,2.5,CA,1674963088
346,visby,57.6409,18.296,2.68,93,100,5.14,SE,1674962826
347,bhinmal,25.0,72.25,17.83,76,91,2.61,IN,1674963088
348,san-pedro,4.7485,-6.6363,24.44,92,8,2.34,CI,1674963088
349,san clemente,33.427,-117.612,13.69,81,50,0.89,US,1674962970
350,zhigansk,66.7697,123.3711,-40.01,94,98,4.91,RU,1674963089
351,mindelo,16.8901,-24.9804,20.75,68,40,8.75,CV,1674963089
352,alta floresta,-9.8756,-56.0861,20.64,98,100,1.11,BR,1674963090
353,arraial do cabo,-22.9661,-42.0278,24.72,92,100,8.66,BR,1674963090
354,maldonado,-34.6667,-54.9167,22.9,96,21,3.39,UY,1674962846
355,tamandare,-8.7597,-35.1047,26.52,62,89,4.09,BR,1674963090
356,yar-sale,66.8333,70.8333,-27.44,100,54,3.18,RU,1674963091
357,davila,18.4726,120.5763,24.99,75,95,10.39,PH,1674963091
358,fortuna,40.5982,-124.1573,8.19,89,100,3.6,US,1674963091
359,chakwal,32.9334,72.8585,11.36,49,100,1.16,PK,1674963092
360,nemuro,43.3236,145.575,-4.78,66,98,10.0,JP,1674963092
361,capreol,46.706,-80.9225,-14.74,66,40,2.06,CA,1674963092
362,sangar,63.9242,127.4739,-40.33,94,68,0.99,RU,1674963093
363,beira,-19.8436,34.8389,25.05,88,20,2.9,MZ,1674963093
364,sumbe,-11.2061,13.8437,25.53,77,100,1.52,AO,1674963094
365,sorland,67.667,12.6934,2.92,69,100,8.28,NO,1674963094
366,goderich,43.7501,-81.7165,-2.82,93,100,2.06,CA,1674963095
367,ouesso,1.6136,16.0517,21.81,86,84,1.08,CG,1674963095
368,sinazongwe,-17.2614,27.4618,21.54,85,100,1.56,ZM,1674963095
369,aykhal,66.0,111.5,-32.83,100,95,2.11,RU,1674963096
370,nieuw amsterdam,5.8833,-55.0833,25.01,86,44,3.12,SR,1674963096
371,vardo,70.3705,31.1107,-2.79,80,13,6.59,NO,1674963096
372,tianpeng,30.9866,103.9393,11.51,33,0,2.49,CN,1674963097
373,kidal,18.4411,1.4078,11.7,14,40,4.55,ML,1674963097
374,bronnoysund,65.4625,12.1997,2.0,93,100,6.26,NO,1674963098
375,luwingu,-10.2621,29.9271,15.99,97,100,0.87,ZM,1674963098
376,tsabong,-26.0217,22.401,24.2,26,26,4.56,BW,1674963098
377,damietta,31.4165,31.8133,14.94,67,20,3.49,EG,1674963099
378,svendborg,55.0598,10.6068,2.54,90,92,5.87,DK,1674963099
379,honningsvag,70.9821,25.9704,-1.14,93,100,9.77,NO,1674963099
380,lakhdenpokhya,61.5198,30.1992,-1.48,88,87,5.02,RU,1674963100
381,serebryansk,49.6925,83.2892,-15.88,91,99,2.84,KZ,1674963100
382,ahipara,-35.1667,173.1667,23.72,74,77,4.54,NZ,1674963100
383,sharanga,57.1775,46.5396,-12.93,97,100,1.93,RU,1674963101
384,ust-karsk,52.7011,118.8077,-15.65,87,97,1.18,RU,1674963101
385,lingao,19.9103,109.6859,16.9,42,1,5.38,CN,1674963102
386,bairiki,1.3292,172.9752,28.0,89,40,6.17,KI,1674963102
387,adrar,20.5022,-10.0711,10.42,51,98,2.92,MR,1674963103
388,bodden town,19.2833,-81.25,26.07,82,20,3.6,KY,1674963103
389,neuquen,-38.9516,-68.0591,29.94,32,0,2.57,AR,1674963104
390,atar,20.5169,-13.0499,12.78,49,97,3.14,MR,1674963104
391,yamada,39.4667,141.95,0.08,40,50,5.06,JP,1674963105
392,coquimbo,-29.9533,-71.3436,15.85,100,40,1.54,CL,1674963074
393,maragogi,-9.0122,-35.2225,27.19,57,95,4.48,BR,1674963106
394,mirabad,30.4362,61.8383,5.99,80,14,1.08,AF,1674963106
395,san jose ojetenan,15.2167,-91.9667,2.88,63,10,2.43,GT,1674963106
396,dudinka,69.4058,86.1778,-20.07,98,95,2.8,RU,1674963107
397,siuri,23.9167,87.5333,17.12,31,0,2.5,IN,1674963107
398,egvekinot,66.3167,-179.1667,-9.36,97,100,1.26,RU,1674963108
399,skjervoy,70.0311,20.9714,2.0,74,100,16.97,NO,1674963108
400,lukang,24.0567,120.4352,21.91,57,5,5.97,TW,1674963108
401,havoysund,70.9963,24.6622,-0.87,93,99,15.57,NO,1674963109
402,boyolangu,-8.1181,111.8935,25.83,84,100,1.4,ID,1674963109
403,kutum,14.2,24.6667,17.23,12,87,2.08,SD,1674963110
404,sola,-13.8833,167.55,28.1,75,31,4.06,VU,1674963110
405,vestmannaeyjar,63.4427,-20.2734,4.45,69,98,12.91,IS,1674963110
406,maiduguri,11.8464,13.1603,22.94,18,88,1.76,NG,1674963111
407,capitan bado,-23.2667,-55.5333,21.96,78,61,3.43,PY,1674963111
408,burns lake,54.2331,-125.7533,-20.32,99,10,0.7,CA,1674963015
409,alexandria,31.2156,29.9553,15.33,68,0,3.34,EG,1674962901
410,begunitsy,59.5855,29.3176,-0.76,89,100,4.91,RU,1674963112
411,senador jose porfirio,-2.5908,-51.9542,22.9,88,100,1.06,BR,1674963112
412,carutapera,-1.195,-46.02,23.89,90,77,1.64,BR,1674963113
413,benguela,-12.5763,13.4055,26.48,76,100,1.45,AO,1674963113
414,bandarban,22.1965,92.2262,20.84,31,0,1.19,BD,1674963114
415,tibiri,13.5627,7.0485,20.08,20,95,3.74,NE,1674963114
416,lincoln,40.8,-96.667,-12.06,79,100,8.75,US,1674963114
417,moerai,-22.4333,-151.3333,26.23,77,72,3.83,PF,1674963115
418,esperance,-33.8667,121.9,21.96,49,1,4.38,AU,1674963115
419,ayan,56.45,138.1667,-21.1,69,72,0.65,RU,1674963115
420,takoradi,4.8845,-1.7554,25.88,89,93,3.31,GH,1674963116
421,menongue,-14.6585,17.691,16.57,96,100,2.14,AO,1674963116
422,senanga,-16.1167,23.2667,18.69,97,100,2.14,ZM,1674963116
